Date;Event Type;Event Details;Check Point;Tour ID;Guard Name;Image | Audio | Video
11/08/2022 08:16;FINISH;;;242;Security 1 (40e0d01078);|  |
11/08/2022 08:15;MME;;303957 - CP5-BF;242;Security 1 (40e0d01078);? |  |
11/08/2022 08:15;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;242;Security 1 (40e0d01078);|  |
11/08/2022 08:13;MME;;303958 - CP1-BF;242;Security 1 (40e0d01078);? |  |
11/08/2022 08:13;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;242;Security 1 (40e0d01078);|  |
11/08/2022 08:11;MME;;303974 - CP2-BF;242;Security 1 (40e0d01078);? |  |
11/08/2022 08:10;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;242;Security 1 (40e0d01078);|  |
11/08/2022 08:10;START;;;242;Security 1 (40e0d01078);|  |
11/08/2022 08:00;MISSEDSCAN;Schedule: 13860470 - BF-6am Loose Schedule;304781 - CP9-BF;0;Security 1 (40e0d01078);|  |
11/08/2022 06:11;FINISH;;;241;Security 1 (40e0d01078);|  |
11/08/2022 06:10;MME;;303957 - CP5-BF;241;Security 1 (40e0d01078);? |  |
11/08/2022 06:10;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;241;Security 1 (40e0d01078);|  |
11/08/2022 06:09;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;241;Security 1 (40e0d01078);|  |
11/08/2022 06:07;MME;;303958 - CP1-BF;241;Security 1 (40e0d01078);? |  |
11/08/2022 06:07;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;241;Security 1 (40e0d01078);|  |
11/08/2022 06:07;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;241;Security 1 (40e0d01078);|  |
11/08/2022 06:07;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;241;Security 1 (40e0d01078);|  |
11/08/2022 06:05;MME;;303974 - CP2-BF;241;Security 1 (40e0d01078);? |  |
11/08/2022 06:04;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;241;Security 1 (40e0d01078);|  |
11/08/2022 06:04;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;241;Security 1 (40e0d01078);|  |
11/08/2022 06:04;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;241;Security 1 (40e0d01078);|  |
11/08/2022 06:04;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;241;Security 1 (40e0d01078);|  |
11/08/2022 06:04;START;;;241;Security 1 (40e0d01078);|  |
11/08/2022 05:21;FINISH;;;240;Security 1 (40e0d01078);|  |
11/08/2022 05:21;MME;;304783 - CP2-GF;240;Security 1 (40e0d01078);? |  |
11/08/2022 05:21;NFCSCAN;LYG  - Majalengka;304783 - CP2-GF;240;Security 1 (40e0d01078);|  |
11/08/2022 05:18;MME;;304782 - CP8-GF;240;Security 1 (40e0d01078);? |  |
11/08/2022 05:18;NFCSCAN;LYG  - Majalengka;304782 - CP8-GF;240;Security 1 (40e0d01078);|  |
11/08/2022 05:18;START;;;240;Security 1 (40e0d01078);|  |
11/08/2022 05:00;MISSEDSCAN;Schedule: 13859563 - 2ND-3RD-4TH-4am Loose Schedule;303955 - CP4-4F;0;Security 1 (40e0d01078);|  |
11/08/2022 05:00;MISSEDSCAN;Schedule: 13859563 - 2ND-3RD-4TH-4am Loose Schedule;303956 - CP4-3F;0;Security 1 (40e0d01078);|  |
11/08/2022 04:13;FINISH;;;239;Security 1 (40e0d01078);|  |
11/08/2022 04:12;MME;;304785 - CP4-2F;239;Security 1 (40e0d01078);? |  |
11/08/2022 04:12;NFCSCAN;LYG  - Majalengka;304785 - CP4-2F;239;Security 1 (40e0d01078);|  |
11/08/2022 04:12;NFCSCAN;LYG  - Majalengka;304785 - CP4-2F;239;Security 1 (40e0d01078);|  |
11/08/2022 04:12;START;;;239;Security 1 (40e0d01078);|  |
11/08/2022 03:13;FINISH;;;238;Security 1 (40e0d01078);|  |
